word	types	reference
davids		[]
vermahnung		[]
den		[]
herrn		[]
zu		[]
loben		[]
so		[]
wohl		[]
mit		[]
vocalals		[]
auch		[]
jnstrumentalmusic		[]
jn		[]
einer		[]
christlichen		[]
orgelpredigt		[]
bey		[]
veranlassung		[]
des		[]
in		[]
die		[]
kirche		[]
zu		[]
hohenwussen		[]
von		[]
milder		[]
hand		[]
verehrten		[]
annehmlichen		[]
orgelwerckgens		[]
welches		[]
am		[]
19		[]
julii		[]
war		[]
der		[]
vii		[]
sonntag		[]
nach		[]
trinitatis		[]
anno		[]
m		[]
dcc		[]
xi		[]
zum		[]
erstenmahle		[]
bey		[]
dem		[]
öffentlichen		[]
gottesdienste		[]
geschlagen		[]
und		[]
nach		[]
christevangelischer		[]
art		[]
eingeweihet		[]
worden		[]
aus		[]
dem		[]
cl	 bibel	['Ps_150']
psalm	 bibel	['Ps_150']
der		[]
christlichen		[]
gemeine		[]
vorgestellet		[]
und		[]
auf		[]
ersuchen		[]
folgends		[]
zum		[]
druck		[]
ausgearbeitet		[]
von		[]
gabriel		[]
hanitschen		[]
pfarrern		[]
zu		[]
naundorff		[]
und		[]
hohenwussen		[]
dresden		[]
bey		[]
johann		[]
christoph		[]
zimmermannen		[]
1711		[]
dem		[]
hochgebohrnen		[]
herrn		[]
herrn		[]
otto		[]
christian		[]
des		[]
heiligen		[]
römischen		[]
reichs		[]
grafen		[]
und		[]
herrn		[]
von		[]
zinzendorff		[]
und		[]
pottendorff		[]
herrn		[]
derer		[]
herrschafften		[]
freydeck		[]
schöneck		[]
thürnstein		[]
und		[]
des		[]
thals		[]
wachau		[]
wie		[]
auch		[]
gauernitz		[]
langenhennersdorff		[]
hermßdorff		[]
wildberg		[]
kleinschönberg		[]
und		[]
scherrau		[]
etc		[]
seiner		[]
römischen		[]
käyserlichen		[]
majestät		[]
erblandjägermeister		[]
in		[]
oesterreich		[]
unter		[]
der		[]
enß		[]
und		[]
seiner		[]
königlichen		[]
majestät		[]
in		[]
pohlen		[]
und		[]
churfürstlichen		[]
durchlaucht		[]
zu		[]
sachsen		[]
hochbestallten		[]
würcklichen		[]
geheimten		[]
rathe		[]
und		[]
general-feldzeugmeister		[]
etc		[]
meinem		[]
gnädigen		[]
herrn		[]
wünschet		[]
von		[]
dem		[]
heiligen		[]
und		[]
